comment,is_aggressive
Отличный водитель [SEP] Спасибо,0
Лучший водитель [SEP]  Спасибо,0
водитель заехал и сразу встал с той стороны дома у которой нет подъездов [SEP]  и стоял ждал там не проехав дальше [SEP]  хотя в адресе был указан подъезд,0
постоянно отвлекался на поиск и просмотр роликов на ютуб,0
выезжал на встречку несколько раз,1
салон весь прокурен [SEP]  после поездки пахнут волосы и одежда,1
Не обучен работе с приложением и стандартам [SEP]  А это К,0
Сервис просто супер,0
Нет оклейки ГОСТ [SEP]  Шашечки тоже нет,0
Точка фактической подачи машины отличалась от точки которую я выставляла в приложении,1
Очень вежливый водитель,0
Очень вежливый водитель,0
Все супер,0
Говорил по телефону и смотрел чаты в телефоне,0
Буквы не совпадают были буквы РМН,0
Говорил за рулём по телефону,0
Максимально корректный тянет на комфорт,0
Пукнул,0
Очень аккуратный в машине очень чисто,0
Отличный водитель едет очень ровно,0
Отличие букв в номере,0
Ошибся в первом вопросе номер отличается хотя и похож,1
Отсутствовал держатель для телефона водитель постоянно смотрел на коленки в навигатор [SEP]  Не оч безопасно,0
В салоне оставалось детское кресло [SEP]  Вдвоем сзади было тесно,0
Плохо понимает по русски,1
Очень много жалуется на наше приложение,0
Хамоватый водитель который ездит очень агрессивно и опасно,1
Очень приятный водитель,0
Всё супер [SEP]  Лучше чем обычно,0
Все было отлично водитель молодец everything ok,0
Водитель помог с грузом,0
Машина серая камри буквы другие регион 147,0
Приятная беседа,0
Конфеты в подлокотнике,0
Отличный водитель,0
Случайно поставила оценку про вид машины и запах [SEP]  Всё было хорошо машина чистая и в отличном состоянии запаха не было,0
Водитель нажал машина подана до того как подъехал ко входу в клинику и накапало платного ожидания на 40₽,0
Только грязные даерные ручки снаружи смутили но из за погоды,0
Галантный водитель,0
Все было хорошо [SEP]  Без замечаний,0
Все было хорошо,0
Машина брендирована под Яндекс [SEP] такси,0
Агрессивная манера вождения,1
Вежливый водитель всё уточнил «как удобно доехать» «тепло или холодно»,0
Очень агрессивная езда которая сопровождается агрессивными словами,1
Очень достойный водитель по всем параметрам,0
Разговоры водителя по телефону,0
Все отлично,0
Пришел на место раньше пошел водителю на встречу [SEP]  Он сам заметил меня и остановился не пришлось бежать и махать руками,0
Больше нечего добавить,0
Водитель сама вежливость [SEP]  Все супер,0
Отличная поездка,0
Нет [SEP]  Все хорошо [SEP]  Спасибо,0
Все хорошо,0
Водитель молодец,0
Все в порядке водитель молодец запаха нет в авто и водитель в маске неправильно нажал,0
Гос номер не совпадал с указанным в приложении [SEP]  Водитель большую часть времени сидел в телефоне либо говорил по нему [SEP]  При мне звонил оператору Ситимобил и жаловался на низкую стоимость заказа и видимо решил решать эту проблему сам и включил платное ожидание до конца поездки на 31 минуту хотя остановок не было,0
Приятный и вежливый водитель,0
Я поставила рычажок что буду с животным но или водитель не увидел или что то не сработало и в итоге я доплатила ещё 250 р за кота,0
Сидел в телефоне во время поездки,0
Очень вежливый,1
Все прекрасно,0
Не здоровается не прощается,1
Очень круто водит [SEP]  оочень комфортно было,0
Сначала водитель отъехал от изначального пункта назначения т [SEP] к [SEP]  там была остановка пришлось его искать с другой стороны дома [SEP]  Но он нормально все объяснил извинился так что претензий нет,0
